"1.","Westbound","http://www.yelp.com/biz/westbound-los-angeles","Downtown; 300 S Santa Fe Ave
Los Angeles, CA 90013"
"2.","Thirsty Crow","http://www.yelp.com/biz/thirsty-crow-los-angeles","Silver Lake; 2939 W Sunset Blvd
Los Angeles, CA 90026"
"3.","Tiki-Ti Cocktail Lounge","http://www.yelp.com/biz/tiki-ti-cocktail-lounge-los-angeles","Los Feliz; 4427 W Sunset Blvd
Los Angeles, CA 90027"
"4.","The Know Where Bar","http://www.yelp.com/biz/the-know-where-bar-los-angeles","Hollywood; 5634 Hollywood Blvd
Los Angeles, CA 90028"
"5.","Blue Collar","http://www.yelp.com/biz/blue-collar-los-angeles-2","Beverly Grove; 361 S Fairfax Ave
Los Angeles, CA 90036"
"6.","Melrose Umbrella Co","http://www.yelp.com/biz/melrose-umbrella-co-los-angeles-2","Fairfax; 7465 Melrose Ave
Los Angeles, CA 90046"
"7.","Sassafras","http://www.yelp.com/biz/sassafras-los-angeles","Hollywood; 1233 N Vine St
Los Angeles, CA 90038"
"8.","The Wellesbourne","http://www.yelp.com/biz/the-wellesbourne-los-angeles","West Los Angeles; 10929 W Pico Blvd
Los Angeles, CA 90064"
"9.","The Morrison","http://www.yelp.com/biz/the-morrison-los-angeles","Atwater Village; 3179 Los Feliz Blvd
Los Angeles, CA 90039"
"10.","Now Boarding","http://www.yelp.com/biz/now-boarding-los-angeles-2","West Hollywood; 7746 Santa Monica Blvd
Los Angeles, CA 90046"
"11.","Piano Bar","http://www.yelp.com/biz/piano-bar-los-angeles","Hollywood; 6429 Selma Ave
Los Angeles, CA 90028"
"12.","The Roger Room","http://www.yelp.com/biz/the-roger-room-los-angeles","Beverly Grove; 370 N La Cienega Blvd
Los Angeles, CA 90048"
"13.","Thirteen XIII Soju Bar","http://www.yelp.com/biz/thirteen-xiii-soju-bar-los-angeles","Koreatown; 4121 W Olympic Blvd
Los Angeles, CA 90019"
"14.","ETA","http://www.yelp.com/biz/eta-los-angeles","Highland Park; 5630 N Figueroa St
Los Angeles, CA 90042"
"15.","Resident","http://www.yelp.com/biz/resident-los-angeles-2","Arts District, Downtown; 428 S Hewitt St
Los Angeles, CA 90013"
"16.","The Well","http://www.yelp.com/biz/the-well-los-angeles","Hollywood; 6255 W Sunset Blvd
Los Angeles, CA 90028"
"17.","Seven Grand","http://www.yelp.com/biz/seven-grand-los-angeles","Downtown; 515 W 7th St
Los Angeles, CA 90014"
"18.","Pour Vous","http://www.yelp.com/biz/pour-vous-los-angeles","Larchmont; 5574 Melrose Ave
Los Angeles, CA 90038"
"19.","Little Bar","http://www.yelp.com/biz/little-bar-los-angeles","Mid-Wilshire; 757 S La Brea Ave
Los Angeles, CA 90036"
"20.","4100 Bar","http://www.yelp.com/biz/4100-bar-los-angeles","Silver Lake; 1087 Manzanita St
Los Angeles, CA 90029"
"21.","Living Room","http://www.yelp.com/biz/living-room-los-angeles","Jefferson Park; 2636 Crenshaw Blvd
Los Angeles, CA 90016"
"22.","Frank N Hanks","http://www.yelp.com/biz/frank-n-hanks-los-angeles","Koreatown, Wilshire Center; 518 S Western Ave
Los Angeles, CA 90020"
"23.","Everson Royce Bar","http://www.yelp.com/biz/everson-royce-bar-los-angeles-2","Downtown; 1936 E 7th St
Los Angeles, CA 90021"
"24.","Plato","http://www.yelp.com/biz/plato-los-angeles","Koreatown; 3474 W 8th St
Los Angeles, CA 90005"
"25.","Blue Goose Lounge","http://www.yelp.com/biz/blue-goose-lounge-los-angeles","East Hollywood; 5201 W Sunset Blvd
Los Angeles, CA 90027"
"26.","Harvard Yard","http://www.yelp.com/biz/harvard-yard-los-angeles-2","Harvard Heights; 1400 S Western Ave
Los Angeles, CA 90006"
"27.","The Powder Room","http://www.yelp.com/biz/the-powder-room-los-angeles-2","Hollywood; 1606 N Cahuenga Blvd
Los Angeles, CA 90028"
"28.","The Normandie Club","http://www.yelp.com/biz/the-normandie-club-los-angeles","Koreatown, Wilshire Center; 3612 W 6th St
Los Angeles, CA 90020"
"29.","Frolic Room","http://www.yelp.com/biz/frolic-room-los-angeles","Hollywood; 6245 Hollywood Blvd
Los Angeles, CA 90028"
"30.","Minibar Hollywood","http://www.yelp.com/biz/minibar-hollywood-los-angeles","Hollywood Hills; 6141 Franklin Ave
Los Angeles, CA 90028"
"31.","The Varnish","http://www.yelp.com/biz/the-varnish-los-angeles-2","Downtown; 118 E 6th St
Los Angeles, CA 90014"
"32.","Gold Room","http://www.yelp.com/biz/gold-room-los-angeles","Echo Park; 1558 W Sunset Blvd
Los Angeles, CA 90026"
"33.","Jay’s Bar","http://www.yelp.com/biz/jays-bar-los-angeles","Silver Lake; 4321 Sunset Blvd
Los Angeles, CA 90029"
